KldB_Code,KldB_Label,ESCO_Code,ESCO_Label
B 41432-111,Baustoffprüfer/Baustoffprüferin Schwerpunkt Asphalttechnik,00634fc4-802a-461b-8af0-499273756f99,Asphaltlabortechniker/Asphaltlabortechnikerin
B 84134-105,Förderlehrer/Förderlehrerin,00674f21-2f8f-4a41-9896-133f7cbe2a6e,Lehrassistent Grundschule/Lehrassistentin Grundschule
B 84183-100,Pädagogischer Assistent/Pädagogische Assistentin,00674f21-2f8f-4a41-9896-133f7cbe2a6e,Lehrassistent Grundschule/Lehrassistentin Grundschule
B 81713-104,Physiotherapeut/Physiotherapeutin,006cc1f9-2841-41c3-991a-dc3f2f3bd533,Physiotherapeut/Physiotherapeutin
B 84553-109,Lehrer/Lehrerin der Alexander-Technik,006cc1f9-2841-41c3-991a-dc3f2f3bd533,Physiotherapeut/Physiotherapeutin
B 81794-101,Leitender Physiotherapeut/Leitende Physiotherapeutin,006cc1f9-2841-41c3-991a-dc3f2f3bd533,Physiotherapeut/Physiotherapeutin
B 94214-100,Schauspieler/Schauspielerin,00747307-6341-4266-a061-25416f7c6a96,Lehrkraft für Darstellende Kunst im Bereich Theater
B 29202-103,Fachkraft für Lebensmitteltechnik,0085f271-5999-4d42-b879-75c3b4269883,Hydriermaschinenbediener/Hydriermaschinenbedienerin
B 25122-114,Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin (ohne Angabe des Schwerpunkts),0085f271-5999-4d42-b879-75c3b4269883,Hydriermaschinenbediener/Hydriermaschinenbedienerin
B 29202-106,Maschinen- und Anlagenführer/Maschinen- und Anlagenführerin Schwerpunkt Lebensmitteltechnik,0085f271-5999-4d42-b879-75c3b4269883,Hydriermaschinenbediener/Hydriermaschinenbedienerin
